date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:28:45	75/75	---M--	200	added ('OK')	text/plain	etag:%22d89845d0580d61:e45%22	http://jinyongxiaoshuo.com/robots.txt		(from )
08:28:46	16830/16830	---M--	200	added ('OK')	text/html	etag:%222729d127cfad61:e45%22	http://jinyongxiaoshuo.com/	C:/Users/chui0/Downloads/websites/jyxs/jinyongxiaoshuo.com/index.html	(from )
08:28:46	4286/4286	---M--	200	added ('OK')	image/x-icon	etag:%22e2c7408c380d61:e45%22	http://jinyongxiaoshuo.com/css/img/favico.ico	C:/Users/chui0/Downloads/websites/jyxs/jinyongxiaoshuo.com/css/img/favico.ico	(from http://jinyongxiaoshuo.com/)
08:28:47	16720/16720	---M--	200	added ('OK')	text/css	etag:%229e76cd94380d61:e45%22	http://jinyongxiaoshuo.com/css/style.css	C:/Users/chui0/Downloads/websites/jyxs/jinyongxiaoshuo.com/css/style.css	(from http://jinyongxiaoshuo.com/)
08:28:47	1382/1382	---M--	200	added ('OK')	text/css	etag:%22d4db9194380d61:e45%22	http://jinyongxiaoshuo.com/css/mobile.css	C:/Users/chui0/Downloads/websites/jyxs/jinyongxiaoshuo.com/css/mobile.css	(from http://jinyongxiaoshuo.com/)
08:28:47	3129/3129	---M--	200	added ('OK')	application/x-javascript	etag:%22dc072a5380d61:e45%22	http://jinyongxiaoshuo.com/js/user.js	C:/Users/chui0/Downloads/websites/jyxs/jinyongxiaoshuo.com/js/user.js	(from http://jinyongxiaoshuo.com/)
08:28:48	0/0	---M--	200	added ('OK')	application/x-javascript	etag:%22da6fb7a2380d61:e45%22	http://jinyongxiaoshuo.com/js/ad01.js	C:/Users/chui0/Downloads/websites/jyxs/jinyongxiaoshuo.com/js/ad01.5.delayed	(from http://jinyongxiaoshuo.com/)
08:28:48	9421/9421	---M--	200	added ('OK')	text/html	etag:%228264ca2380d61:e45%22	http://jinyongxiaoshuo.com/jiuban/	C:/Users/chui0/Downloads/websites/jyxs/jinyongxiaoshuo.com/jiuban/index.html	(from http://jinyongxiaoshuo.com/)
08:28:48	9656/9656	---M--	200	added ('OK')	text/html	etag:%225c9223b6580d61:e45%22	http://jinyongxiaoshuo.com/xiuding/	C:/Users/chui0/Downloads/websites/jyxs/jinyongxiaoshuo.com/xiuding/index.html	(from http://jinyongxiaoshuo.com/)
08:28:48	9542/9542	---M--	200	added ('OK')	text/html	etag:%22ace9eb5580d61:e45%22	http://jinyongxiaoshuo.com/xinxiu/	C:/Users/chui0/Downloads/websites/jyxs/jinyongxiaoshuo.com/xinxiu/index.html	(from http://jinyongxiaoshuo.com/)
08:28:49	3/3	---M--	200	added ('OK')	application/x-javascript	etag:%22e6b9c8a4380d61:e45%22	http://jinyongxiaoshuo.com/js/RD01.js	C:/Users/chui0/Downloads/websites/jyxs/jinyongxiaoshuo.com/js/RD01.js	(from http://jinyongxiaoshuo.com/)
08:28:49	14374/14374	---M--	200	added ('OK')	text/html	etag:%228ab57582580d61:e45%22	http://jinyongxiaoshuo.com/shujianenchoulu/	C:/Users/chui0/Downloads/websites/jyxs/jinyongxiaoshuo.com/shujianenchoulu/index.html	(from http://jinyongxiaoshuo.com/)
08:28:49	9238/9238	---M--	200	added ('OK')	text/html	etag:%22622a9ce580d61:e45%22	http://jinyongxiaoshuo.com/yuenvjian/	C:/Users/chui0/Downloads/websites/jyxs/jinyongxiaoshuo.com/yuenvjian/index.html	(from http://jinyongxiaoshuo.com/)
08:28:50	18863/18863	---M--	200	added ('OK')	text/html	etag:%22bca980c2380d61:e45%22	http://jinyongxiaoshuo.com/ludingji/	C:/Users/chui0/Downloads/websites/jyxs/jinyongxiaoshuo.com/ludingji/index.html	(from http://jinyongxiaoshuo.com/)
08:28:50	11930/11930	---M--	200	added ('OK')	text/html	etag:%229ca7fe9d380d61:e45%22	http://jinyongxiaoshuo.com/feihuwaizhuan/	C:/Users/chui0/Downloads/websites/jyxs/jinyongxiaoshuo.com/feihuwaizhuan/index.html	(from http://jinyongxiaoshuo.com/)
08:28:51	0/0	---M--	200	added ('OK')	application/x-javascript	etag:%22946f6a4380d61:e45%22	http://jinyongxiaoshuo.com/js/RD02.js	C:/Users/chui0/Downloads/websites/jyxs/jinyongxiaoshuo.com/js/RD02.7.delayed	(from http://jinyongxiaoshuo.com/)
08:28:51	10867/10867	---M--	200	added ('OK')	text/html	etag:%22a854b2b9580d61:e45%22	http://jinyongxiaoshuo.com/xueshanfeihu/	C:/Users/chui0/Downloads/websites/jyxs/jinyongxiaoshuo.com/xueshanfeihu/index.html	(from http://jinyongxiaoshuo.com/)
08:28:51	11688/11688	---M--	200	added ('OK')	text/html	etag:%228048dab380d61:e45%22	http://jinyongxiaoshuo.com/lianchengjue/	C:/Users/chui0/Downloads/websites/jyxs/jinyongxiaoshuo.com/lianchengjue/index.html	(from http://jinyongxiaoshuo.com/)
08:28:51	18041/18041	---M--	200	added ('OK')	text/html	etag:%22529d309a580d61:e45%22	http://jinyongxiaoshuo.com/tianlongbabu/	C:/Users/chui0/Downloads/websites/jyxs/jinyongxiaoshuo.com/tianlongbabu/index.html	(from http://jinyongxiaoshuo.com/)
08:28:52	22606/22606	---M--	200	added ('OK')	text/html	etag:%220d72d0580d61:e45%22	http://jinyongxiaoshuo.com/jinyongxiaoshuoshunxushunkouliu.html	C:/Users/chui0/Downloads/websites/jyxs/jinyongxiaoshuo.com/jinyongxiaoshuoshunxushunkouliu.html	(from http://jinyongxiaoshuo.com/)
08:28:53	15742/15742	---M--	200	added ('OK')	text/html	etag:%22301bd765580d61:e45%22	http://jinyongxiaoshuo.com/shediaoyingxiongzhuan/	C:/Users/chui0/Downloads/websites/jyxs/jinyongxiaoshuo.com/shediaoyingxiongzhuan/index.html	(from http://jinyongxiaoshuo.com/)
08:28:53	10794/10794	---M--	200	added ('OK')	text/html	etag:%22dec4d580380d61:e45%22	http://jinyongxiaoshuo.com/baimaxiaoxifeng/	C:/Users/chui0/Downloads/websites/jyxs/jinyongxiaoshuo.com/baimaxiaoxifeng/index.html	(from http://jinyongxiaoshuo.com/)
08:28:54	13822/13822	---M--	200	added ('OK')	text/html	etag:%2218d926b5580d61:e45%22	http://jinyongxiaoshuo.com/xiaoaojianghu/	C:/Users/chui0/Downloads/websites/jyxs/jinyongxiaoshuo.com/xiaoaojianghu/index.html	(from http://jinyongxiaoshuo.com/)
08:28:54	17850/17850	---M--	200	added ('OK')	text/html	etag:%2292d521d0580d61:e45%22	http://jinyongxiaoshuo.com/jinyongxiaoshuowugongpaiming.html	C:/Users/chui0/Downloads/websites/jyxs/jinyongxiaoshuo.com/jinyongxiaoshuowugongpaiming.html	(from http://jinyongxiaoshuo.com/)
08:28:54	17546/17546	---M--	200	added ('OK')	text/html	etag:%22b0545178580d61:e45%22	http://jinyongxiaoshuo.com/shendiaoxialv/	C:/Users/chui0/Downloads/websites/jyxs/jinyongxiaoshuo.com/shendiaoxialv/index.html	(from http://jinyongxiaoshuo.com/)
08:28:55	11767/11767	---M--	200	added ('OK')	text/html	etag:%223c252a2580d61:e45%22	http://jinyongxiaoshuo.com/xiakexing/	C:/Users/chui0/Downloads/websites/jyxs/jinyongxiaoshuo.com/xiakexing/index.html	(from http://jinyongxiaoshuo.com/)
08:28:55	16931/16931	---M--	200	added ('OK')	text/html	etag:%227837d8cc580d61:e45%22	http://jinyongxiaoshuo.com/yitiantulongji/	C:/Users/chui0/Downloads/websites/jyxs/jinyongxiaoshuo.com/yitiantulongji/index.html	(from http://jinyongxiaoshuo.com/)
08:28:55	17287/17287	---M--	200	added ('OK')	text/html	etag:%22363cc7cf580d61:e45%22	http://jinyongxiaoshuo.com/jinyongxiaoshuopaiming.html	C:/Users/chui0/Downloads/websites/jyxs/jinyongxiaoshuo.com/jinyongxiaoshuopaiming.html	(from http://jinyongxiaoshuo.com/)
08:28:56	13542/13542	---M--	200	added ('OK')	text/html	etag:%22f639ee8a380d61:e45%22	http://jinyongxiaoshuo.com/bixuejian/	C:/Users/chui0/Downloads/websites/jyxs/jinyongxiaoshuo.com/bixuejian/index.html	(from http://jinyongxiaoshuo.com/)
08:28:57	10829/10829	---M--	200	added ('OK')	text/html	etag:%227edce0cd580d61:e45%22	http://jinyongxiaoshuo.com/yuanyangdao/	C:/Users/chui0/Downloads/websites/jyxs/jinyongxiaoshuo.com/yuanyangdao/index.html	(from http://jinyongxiaoshuo.com/)
08:28:57	800/800	---M--	200	added ('OK')	application/x-javascript	etag:%228e8e1ea5380d61:e45%22	http://jinyongxiaoshuo.com/js/tongji.js	C:/Users/chui0/Downloads/websites/jyxs/jinyongxiaoshuo.com/js/tongji.js	(from http://jinyongxiaoshuo.com/)
08:28:57	1518/1518	---M--	200	added ('OK')	application/x-javascript	etag:%2222c495a5380d61:e45%22	http://jinyongxiaoshuo.com/js/wp-embed.min.js?ver=4.4.2	C:/Users/chui0/Downloads/websites/jyxs/jinyongxiaoshuo.com/js/wp-embed.minc1f9.js	(from http://jinyongxiaoshuo.com/)
08:28:58	41180/41180	---M--	200	added ('OK')	image/jpeg	etag:%22a821fd8c380d61:e45%22	http://jinyongxiaoshuo.com/css/img/jinyong.jpg	C:/Users/chui0/Downloads/websites/jyxs/jinyongxiaoshuo.com/css/img/jinyong.jpg	(from http://jinyongxiaoshuo.com/)
08:29:00	957/957	---M-Z	200	added ('OK')	text/javascript	etag:%223770211319%22	http://bdimg.share.baidu.com/static/js/addtocite_shell.js?t=	C:/Users/chui0/Downloads/websites/jyxs/bdimg.share.baidu.com/static/js/addtocite_shella18a.js	(from http://jinyongxiaoshuo.com/)
08:29:01	17305/17305	---M-Z	200	added ('OK')	text/javascript	etag:%222981715462%22	http://bdimg.share.baidu.com/static/api/js/share.js?v=89860593.js?cdnversion=	C:/Users/chui0/Downloads/websites/jyxs/bdimg.share.baidu.com/static/api/js/share6e53.js	(from http://jinyongxiaoshuo.com/)
08:29:01	1371/1371	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2015%20Feb%202021%2000:30:00%20GMT	http://jinyongxiaoshuo.com/css/src/grid.png	C:/Users/chui0/Downloads/websites/jyxs/jinyongxiaoshuo.com/css/src/grid.11.delayed	(from http://jinyongxiaoshuo.com/css/style.css)
08:29:02	276875/276875	---MCZ	200	added ('OK')	application/x-javascript	date:Wed,%2007%20Jan%202015%2009:16:30%20GMT	http://libs.baidu.com/jquery/1.9.0/jquery.js	C:/Users/chui0/Downloads/websites/jyxs/libs.baidu.com/jquery/1.9.0/jquery.js	(from http://jinyongxiaoshuo.com/)
08:29:02	1811/1811	---M--	200	added ('OK')	image/png	etag:%225cc7f792380d61:e45%22	http://jinyongxiaoshuo.com/css/img/textured_paper.png	C:/Users/chui0/Downloads/websites/jyxs/jinyongxiaoshuo.com/css/img/textured_paper.png	(from http://jinyongxiaoshuo.com/css/style.css)
08:29:02	1021/1021	---M--	200	added ('OK')	image/png	etag:%22f6661f8c380d61:e45%22	http://jinyongxiaoshuo.com/css/img/boxtopbg2.png	C:/Users/chui0/Downloads/websites/jyxs/jinyongxiaoshuo.com/css/img/boxtopbg2.png	(from http://jinyongxiaoshuo.com/css/style.css)
08:29:02	1099/1099	---M--	200	added ('OK')	image/gif	etag:%22b8332192380d61:e45%22	http://jinyongxiaoshuo.com/css/img/red_ico.gif	C:/Users/chui0/Downloads/websites/jyxs/jinyongxiaoshuo.com/css/img/red_ico.gif	(from http://jinyongxiaoshuo.com/css/style.css)
08:29:03	1145/1145	---M--	200	added ('OK')	image/png	etag:%22a4944292380d61:e45%22	http://jinyongxiaoshuo.com/css/img/scrolltotop.png	C:/Users/chui0/Downloads/websites/jyxs/jinyongxiaoshuo.com/css/img/scrolltotop.png	(from http://jinyongxiaoshuo.com/css/style.css)
08:29:03	0/0	---M--	200	added ('OK')	application/x-javascript	etag:%221c4cbea5380d61:e45%22	http://jinyongxiaoshuo.com/js/XF03.js	C:/Users/chui0/Downloads/websites/jyxs/jinyongxiaoshuo.com/js/XF03.17.delayed	(from http://jinyongxiaoshuo.com/jiuban/)
08:29:04	16984/16984	---M--	200	added ('OK')	text/html	etag:%22fbd7dee480d61:e45%22	http://jinyongxiaoshuo.com/old_shujianenchoulu/	C:/Users/chui0/Downloads/websites/jyxs/jinyongxiaoshuo.com/old_shujianenchoulu/index.html	(from http://jinyongxiaoshuo.com/jiuban/)
